Model name,Learning rate,Batch size,Weight decay,Model type,Epochs,Minimum Training MSE,Minimum Validation MSE,Testing MSE,Minimum Training Average Distance,Minimum Validation Average Distance,Testing Average Distance
20230314-191919,0.001,512,0.0001,resnet50,15,0.0939410642853805,0.09015935079918967,0.09490475058555603,5.8031801428113665,5.547632747226292,5.8190149201287165
20230315-111615,0.001,512,0.0001,resnet50,75,0.0984356239438057,0.08990394572416942,0.09168638288974762,6.094669900621686,5.544562074873182,5.637478881412083
20230315-122829,0.001,512,0.001,resnet50,10,0.09873416828257697,0.09627610196669896,0.0974402709139718,6.115160042898996,5.9667797618442115,6.021848890516493
20230315-140317,0.001,512,0.001,densenet121,10,0.11756189582603319,0.09490429858366649,0.09588751776350869,7.327044091905866,5.87338744269477,5.917621665530735
20230315-141752,0.001,512,1e-05,densenet121,10,0.11569912082382611,0.0917050184475051,0.0946597084403038,7.2074503898620605,5.65315130021837,5.819868776533339
20230315-143016,0.001,512,0.0002,densenet121,10,0.10349347570112773,0.08906877206431495,0.09075908031728533,6.4228566510336735,5.490040885077582,5.571822166442871
20230315-160432,0.001,512,0.0002,resnet50,10,0.0957991901252951,0.09465718352132374,0.09587123576137754,5.925075939723423,5.835490120781793,5.8934304979112415
20230316-140901,0.001,512,0.0002,resnet50,10,0.1335555185164724,0.13238057990868887,0.13255932347642052,8.406747593198503,8.318424436781141,8.315087583329943
20230316-175442,0.001,512,0.0001,resnet50,50,0.09573579228350095,0.09210527315735817,0.09472697807682885,5.921091675758362,5.695113314522637,5.835740433798896
20230318-153606,0.001,512,0.0002,densenet121,50,0.10276193671992846,0.09097382384869787,0.09300864736239116,6.377457107816424,5.6094297303093805,5.712483988867866
20230324-151754,0.001,512,0.0001,resnet18,15,0.1025787815451622,0.0936702075931761,0.09602690819236967,6.36490581376212,5.778619130452474,5.9090447425842285
20230324-153014,0.001,512,0.0001,resnet34,15,0.09644241737467903,0.09063954237434599,0.09223481516043346,5.9640161922999795,5.594622664981419,5.6727932294209795
20230324-162207,0.001,512,0.0001,resnet50,15,0.09698886456234114,0.09308972789181603,0.09496237999863094,6.000453342710222,5.759880171881782,5.855645868513319
20230324-164011,0.001,512,0.0001,resnet101,15,0.0946673333644867,0.08922370688782798,0.09139599402745564,5.848953635351998,5.505526012844509,5.616664939456516
20230324-171207,0.001,512,0.0001,densenet121,15,0.10378427143607821,0.09132292949491078,0.0933050662279129,6.442689207621983,5.626396497090657,5.723913934495714
20230324-173757,0.001,256,0.0001,densenet169,15,0.1229621742452894,0.09843338612053129,0.09990752157237795,7.667159066881452,6.080904881159465,6.159820397694905
20230324-183038,0.001,512,0.0001,resnet101,15,0.09952373802661896,0.0944467977517181,0.09777034446597099,6.170040249824524,5.817305723826091,6.0050435066223145
20230408-142322,0.001,512,0.0001,resnet50,15,0.09415966038193022,0.09070291784074572,0.09269963618781832,5.819765182903835,5.594009770287408,5.691172573301527
20230408-155929,0.001,512,0.0001,resnet50,5,0.09437199256249837,0.08918136109908421,0.09143612533807755,5.825922107696533,5.494466675652398,5.615017255147298
20230408-162607,0.001,512,0.0001,resnet50,5,0.09713288087929998,0.09007966104480955,0.09165050006575054,6.009793751580375,5.548766454060872,5.621185885535346
20230408-163433,0.001,512,0.0001,resnet50,5,0.09414474910923414,0.09075167278448741,0.09283169441752964,5.814654874801636,5.606864929199219,5.707204818725586
20230410-160811,0.001,512,0.0001,resnet50,5,0.11149500863892692,0.10206052743726307,0.10209064102835125,6.9467883246285576,6.348304324679905,6.330694993336995
20230411-123516,0.001,512,0.0001,resnet50,15,0.09698474822299821,0.091204681330257,0.09380730738242467,5.999604082107544,5.629604498545329,5.777016798655192
20230411-130609,0.001,512,0.0002,resnet50,5,0.09814789593219757,0.08974270439810222,0.09115999191999435,6.072345897129604,5.532968997955322,5.599484231736925
20230411-131317,0.001,512,0.00025,resnet50,5,0.09791034907102585,0.09427774118052588,0.09540331446462208,6.059910120282854,5.83378881878323,5.881875832875569
20230411-133436,0.001,512,0.0002,resnet50,10,0.10162362584045954,0.09724672552612093,0.09840428166919285,6.297332790919713,6.032790025075276,6.082158936394586
