Model name,Learning rate,Batch size,Weight decay,Model type,Epochs,Minimum Training MSE,Minimum Validation MSE,Testing MSE,Minimum Training Average Distance,Minimum Validation Average Distance,Testing Average Distance,Minimum Training % Error,Minimum Validation % Error:,Minimum Testing % Error:
20230414-175100,0.001,512,0.0002,resnet34,5,0.11583878552275044,0.13856029137969017,0.14032456278800964,7.226231404713222,8.759004592895508,8.875244140625,27.672989134277618,34.405895322561264,34.6671499311924
20230414-181120,0.001,256,0.0002,resnet101,25,0.07370805977420374,0.07696470298937388,0.07467631569930486,4.500071027062156,4.716723714556013,4.57589510508946,15.970250991257755,16.68279298714229,16.160167966570175
20230414-203806,0.001,256,0.0002,resnet50,25,0.07490340322256088,0.07675719793353762,0.07445042261055537,4.57711538401517,4.700499534606934,4.557513066700527,16.189027536999095,16.575962092195237,16.06014562504632
20230414-214437,0.001,256,0.0001,resnet34,25,0.08289245827631517,0.08134907696928297,0.08011400593178612,5.092334903370251,4.9963724953787665,4.921686581202915,17.375429462302815,17.300117015838623,17.31464202914919
20230416-103511,0.0011,256,0.0001,resnet50,25,0.07835199250416322,0.0802217498421669,0.07848147409302848,4.7995207266374065,4.922548498426165,4.816340105874198,16.748678169467233,17.068976589611598,16.80182559149606
20230416-111536,0.001,256,0.0002,densenet121,25,0.08175955794074319,0.0823961113180433,0.08006425627640315,5.019485993818804,5.053862231118338,4.905784334455218,18.3163766969334,17.78156672205244,18.550187136445725
20230416-152704,0.001,256,0.0001,densenet121,25,0.07849141684445468,0.08071483139480863,0.07936496713331767,4.81015401320024,4.9622224399021695,4.886421816689627,17.807940623976968,17.23845579794475,16.889568950448716
20230416-164856,0.001,256,0.0001,resnet50,25,0.05029703432863409,0.050780349011932104,0.04962371875132833,4.823134066841819,4.866877623966762,4.753242356436593,16.70221984386444,17.020367298807418,16.920023730822972
20230416-205851,0.001,128,0.0001,densenet169,25,0.08793284442614425,0.08509613839643342,0.08340717852115631,5.422775021466342,5.234102487564087,5.134328501565116,19.80805357748812,18.274017529828207,17.80569510800498
20230416-232152,0.001,256,0.0001,resnet18,25,0.06448358947580511,0.07347761201007026,0.07322479784488678,3.9158628420396284,4.493853262492588,4.471956150872367,15.673248225992376,17.489195508616312,17.8238040634564
20230417-150242,0.001,256,0.0001,resnet50,25,0.08041930171576413,0.08527509974581855,0.08211747876235417,4.938061792200262,5.259621279580252,5.067019666944232,18.116687834262848,18.55520009994507,18.388197464602335
20230417-180346,0.001,256,0.0001,resnet50,25,0.07025098058987747,0.07495474655713354,0.07358144596219063,4.274091419306669,4.585104806082589,4.497169171060834,15.456881834702058,16.20475905282157,15.831811619656426
20230417-195437,0.001,256,0.0002,resnet50,25,0.07341160997748375,0.07766626562391009,0.07674563516463552,4.476743442362005,4.753855160304478,4.692634616579328,16.04777135632255,16.73892938664981,16.736896016768046
20230417-234155,0.001,256,0.0002,resnet50,25,0.07504747631874951,0.07755778038075992,0.07587941469890731,4.582453762401234,4.746210472924369,4.642770767211914,16.217608709226955,16.940269406352723,16.576328980071203
20230418-115148,0.001,256,0.00015,resnet50,25,0.07486734518950636,0.078298988619021,0.07789890202028411,4.569021838361567,4.7954486438206265,4.770680631910052,16.189619289203122,16.714206337928772,16.356358038527624
